SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,Stage,Context,xPos,yPos,zPos,xRot,yRot,zRot
0,7_25,11_53_43,5.862054,1,0,0,0,1.57556,InstructionPhase,A,0.001203418,2.416531,-0.001631618,0.1404051,359.9728,355.9343,
0,7_25,11_53_43,5.873186,1,0,0,0,1.586691,InstructionPhase,A,0.001458645,2.416897,-0.001920342,359.9886,0.01094679,355.9164,
0,7_25,11_53_43,5.884327,1,0,0,0,1.597833,InstructionPhase,A,0.00175786,2.417315,-0.00218606,359.8314,0.06723339,355.9029,
0,7_25,11_53_43,5.895477,1,0,0,0,1.608983,InstructionPhase,A,0.001921177,2.417672,-0.002514839,359.6718,0.1057258,355.8947,
0,7_25,11_53_43,5.906573,1,0,0,0,1.620079,InstructionPhase,A,0.002061844,2.417967,-0.002788305,359.5316,0.14127,355.879,
0,7_25,11_53_43,5.91816,1,0,0,0,1.631666,InstructionPhase,A,0.002256036,2.418222,-0.003094196,359.3927,0.1748324,355.8669,
0,7_25,11_53_43,5.928853,1,0,0,0,1.642359,InstructionPhase,A,0.002358913,2.418444,-0.003414512,359.2953,0.2096294,355.8387,
0,7_25,11_53_43,5.940067,1,0,0,0,1.653573,InstructionPhase,A,0.002452254,2.418711,-0.003720164,359.2126,0.2451847,355.8088,
0,7_25,11_53_43,5.950945,1,0,0,0,1.664451,InstructionPhase,A,0.002577782,2.418908,-0.003938675,359.1382,0.2672441,355.7736,
0,7_25,11_53_43,5.962037,1,0,0,0,1.675543,InstructionPhase,A,0.002595067,2.419006,-0.004279971,359.1056,0.3146532,355.7452,
0,7_25,11_53_43,5.973257,1,0,0,0,1.686763,InstructionPhase,A,0.002677917,2.419154,-0.004542947,359.0845,0.3258829,355.7177,
0,7_25,11_53_43,5.98424,1,0,0,0,1.697746,InstructionPhase,A,0.002749801,2.419287,-0.004706502,359.0494,0.3475962,355.6999,
0,7_25,11_53_43,5.99557,1,0,0,0,1.709075,InstructionPhase,A,0.002875566,2.419369,-0.004905939,359.0262,0.3556654,355.6953,
0,7_25,11_53_43,6.006917,1,0,0,0,1.720423,InstructionPhase,A,0.002894044,2.419424,-0.005121112,359.0089,0.3708932,355.696,
0,7_25,11_53_43,6.017522,1,0,0,0,1.731028,InstructionPhase,A,0.00293231,2.419472,-0.005305648,358.9918,0.389336,355.6953,
0,7_25,11_53_43,6.028711,1,0,0,0,1.742217,InstructionPhase,A,0.002889395,2.419499,-0.005466461,358.9852,0.4077152,355.6916,
0,7_25,11_53_43,6.039802,1,0,0,0,1.753307,InstructionPhase,A,0.002902985,2.419464,-0.005656958,359.0048,0.4079607,355.7002,
0,7_25,11_53_43,6.051176,1,0,0,0,1.764681,InstructionPhase,A,0.002940059,2.419431,-0.005778313,359.0029,0.4164108,355.7137,
0,7_25,11_53_43,6.06213,1,0,0,0,1.775636,InstructionPhase,A,0.003016949,2.419459,-0.00589776,359.0001,0.4248855,355.7216,
0,7_25,11_53_43,6.073253,1,0,0,0,1.786759,InstructionPhase,A,0.003023982,2.419492,-0.006017804,358.989,0.4353515,355.7297,
0,7_25,11_53_43,6.084283,1,0,0,0,1.797789,InstructionPhase,A,0.003103495,2.419535,-0.006152153,358.9885,0.4407684,355.7419,
0,7_25,11_53_43,6.095628,1,0,0,0,1.809134,InstructionPhase,A,0.00310564,2.419514,-0.006242275,358.9822,0.4387774,355.7569,
0,7_25,11_53_43,6.106515,1,0,0,0,1.820021,InstructionPhase,A,0.003207922,2.419511,-0.006391764,359.0013,0.4529443,355.7923,
0,7_25,11_53_43,6.11775,1,0,0,0,1.831256,InstructionPhase,A,0.003211498,2.419477,-0.006471753,359.007,0.4393585,355.8357,
0,7_25,11_53_43,6.128668,1,0,0,0,1.842174,InstructionPhase,A,0.003269196,2.419453,-0.006494522,359.0188,0.4286927,355.8585,
0,7_25,11_53_43,6.139793,1,0,0,0,1.853299,InstructionPhase,A,0.00329566,2.41942,-0.006544948,359.0244,0.4275177,355.8788,
0,7_25,11_53_43,6.150961,1,0,0,0,1.864467,InstructionPhase,A,0.003290296,2.419389,-0.006615162,359.0367,0.437885,355.8732,
0,7_25,11_53_43,6.162438,1,0,0,0,1.875944,InstructionPhase,A,0.003269434,2.419397,-0.006573915,359.0475,0.4413526,355.8472,
0,7_25,11_53_43,6.173092,1,0,0,0,1.886598,InstructionPhase,A,0.003297925,2.419371,-0.006565332,359.0476,0.4428401,355.8422,
0,7_25,11_53_43,6.18429,1,0,0,0,1.897796,InstructionPhase,A,0.003159642,2.419288,-0.006586552,359.0765,0.4360998,355.845,
0,7_25,11_53_43,6.195329,1,0,0,0,1.908834,InstructionPhase,A,0.003142595,2.419258,-0.006591082,359.1116,0.4267376,355.847,
